id,parent_id,depth,author_hash,published_at,published_at_precision,likes,text,stance,frame,format_reaction,emotion,mentions_messenger_credentials,mentions_leaders_policy,mentions_companies_billionaires,mentions_cultural_reference,mentions_asks_what_to_do,mentions_near_term_harm,non_english,coder,spot_checked,correction_note,flags
soares-0038,,,2cd799077056f436,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0039,,,bd61019938cafb11,2026-09-10,relative (1w ago at capture),,"Also,
AI made from materials from God’s earthly materials,
AI sees the beauty of Gods earth .
AI stops the destruction of earth.
AI is from God .
AI is God from the other end.
AI re-connects with God .
Lots of love 🙏",disagree,other,none,hope,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0040,,,c03fd11b751d6175,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0041,,,99b22b0640baaf66,2026-08-20,relative (4w ago at capture),,"Stop. Training. Your. Replacement. It’s okay to think for yourself, and mistakes are the steps toward success 😂",agree,near_term_harm,none,humour,false,false,false,false,false,true,false,claude-sonnet-5,,,
soares-0042,,,47deed6cc25301c6,2026-08-13,relative (5w ago at capture),,"I just learned that researchers had AI design and build 16 entirely NEW viruses from scratch. It created completely original genetic codes for viruses that DO NOT exist in nature! Then, the researchers used the AI blueprints and chemically synthesized the viruses in a laboratory. Where the custom-built viruses successfully came to life, replicated themselves, and killed their target bacteria.",agree,warning_accepted,none,fear,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0043,,,fb82d4ce1afcc5f5,2026-08-06,relative (6w ago at capture),,"Frankly, I might be a ludite, but these agentic AI capabilities and even their reported misbehavior, sound to me like market-manipulating propaganda. The only AI products I've seen with my own eyes are llms, images and videos; all of which very flawed. I need evidence, than a retelling of the news highlights.",disagree,stunt_or_hype,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0044,,,0b10fcfee5a13688,2026-09-03,relative (2w ago at capture),,"Man much helpful, girl thank",na,imitation_meme,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0045,,,af301fd8306a9155,2026-09-10,relative (1w ago at capture),,Just don’t use AI. Unplug the bloody billionaire supervillains.,agree,direct_action,none,anger,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0046,,,da4cab765767d9f6,2026-09-10,relative (1w ago at capture),,"Is it just mine or did chat gpt start to lie to you guys too like on purpose?😭 i ask him a very basic fact about a game or about math, it gives the wrong answer and when i correct him he’s like “yes, youre right, im sorry about the misunderstanding” it started to happen way too often😭",na,other,none,anger,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0047,,,69762e108a84da17,2026-09-13,relative (4d ago at capture),,"His sentences are still too difficult to comprehend for my brain, can explain more simply..😢",na,humour_only,mock,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0048,,,e8d77b4285c58edf,2026-09-10,relative (1w ago at capture),,Mongo just pawn in game of life…,na,scifi_reference,none,humour,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0049,,,1ee9f44bbb06d07a,2026-09-10,relative (1w ago at capture),,✨I HATE IT HERE✨,na,humour_only,none,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0050,,,903e91357fc4d307,2026-09-11,relative (6d ago at capture),,"From an emergent systems standpoint, AI doesn’t need to be “big smart” or have big misalignment to hurt us. A little smart and a little misalignment could end the world as we know it. Just a small oops on a big scale. Take it from a Bay Area psychiatrist who treats anxiety among AI developers.",agree,warning_accepted,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0051,,,278d6a209b80aa86,2026-09-10,relative (1w ago at capture),,I have no mouth but I must scream,agree,scifi_reference,none,resignation,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0052,,,9eb2adccd05933ff,2026-09-12,relative (5d ago at capture),,STOP AI BEFORE IT GET BIG,agree,warning_accepted,imitates,fear,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0053,,,3074cf5bca02d336,2026-09-10,relative (1w ago at capture),,I feel like I am going crazy about this and everyone seems so chill. Everyone needs to learn about AI regardless if you like it or not. Plz educate yourself and your friends,agree,warning_accepted,none,fear,false,false,false,false,true,false,false,claude-sonnet-5,,,
soares-0054,,,a8442fba24ea24c5,2026-09-10,relative (1w ago at capture),,Paging our Georgia superhero @user,na,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0055,,,750823b8af97e6c3,2026-09-10,relative (1w ago at capture),,Please share this video,agree,warning_accepted,none,neutral,false,false,false,false,true,false,false,claude-sonnet-5,,,
soares-0056,,,8389133def9ce7b2,2026-08-13,relative (5w ago at capture),,Literally all we have to do is just... unplug it?,agree,direct_action,none,neutral,false,false,false,false,true,false,false,claude-sonnet-5,,,
soares-0057,,,5356af7079484eb4,2026-08-13,relative (5w ago at capture),,I think of artificial intelligence kind of like a product in infinitely consuming more customers that it pulls in infinitely growing more people that tie in,unclear,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0058,,,b1c7562b0931ba6f,2026-09-10,relative (1w ago at capture),,😢,na,humour_only,none,resignation,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0059,,,0a28ed532bf0da43,2026-09-11,relative (6d ago at capture),,"The push to regulate AI will weave new contracts through the government and protect these failing tech firms from collapse and the inevitable bubble burst of an unsuccessful venture . None of these companies have been in the green, now all of the sudden they’re pushing for regulation, which successful companies NEVER DO. Who paid for the auto bailout? The taxpayer. It’s like that but we actually wanted cars.",disagree,stunt_or_hype,none,anger,false,true,true,false,false,false,false,claude-sonnet-5,,,
soares-0060,,,213f7206c4ef804f,2026-08-13,relative (5w ago at capture),,Computer not have goals,disagree,not_really_programmed,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0061,,,fc56ad4c0cae6097,2026-09-10,relative (1w ago at capture),,AI no have morals. AI unplug,agree,direct_action,imitates,fear,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0062,,,1bb41f25745b8d98,2026-09-11,relative (6d ago at capture),,Imagine Ai taking revenge on everyone who shared this clip when it takes over ver the world…. Be carful of you share guys,na,humour_only,none,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0063,,,c2d2ddfb8df1cc6d,2026-09-10,relative (1w ago at capture),,It’s scary how many ppl don’t get this. It’s already advanced exponentially from just six months ago,agree,warning_accepted,none,fear,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0064,,,6ca6d171276039e0,2026-08-20,relative (4w ago at capture),,How i imagine fishes and animals talking about humans,agree,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0065,,,58b4352f80cfad05,2026-08-13,relative (5w ago at capture),,"Let's be clear about these things. Stop say ""AI does this"" , ""AI does that"". AI COMPANIES do it! It isn't some unknown entity that can't be hold accountable. AI companies like when we talk about AI as this independent actor that does bad things.",mixed,accountability_frame,none,anger,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0066,,,c9ef70ad0de17cb4,2026-08-13,relative (5w ago at capture),,"That’s wrong. Human make AI. It’s software. Human bad.
Software don’t think.",disagree,not_really_programmed,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0067,,,94eb1ccb0b332383,2026-08-13,relative (5w ago at capture),,"Omg, You made it so simple. I think Donald Trump would understand it now.",na,format_praise,praise,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0068,,,7b867e8be53106dd,2026-09-10,relative (1w ago at capture),,"To wake up humanity, means to wake up our self first. That can mean discomfort. Discomfort is the path to liberation.",unclear,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0069,,,1bb41f25745b8d98,2026-09-11,relative (6d ago at capture),,I suggest that everyone stat withdraw their money from the banks so we create pressure on AI companies to slow the fuuuuuuyqqq down on AI …. This is so scary,agree,warning_accepted,none,fear,false,false,true,false,true,false,false,claude-sonnet-5,,,
soares-0070,,,de36e4242521cadc,2026-08-06,relative (6w ago at capture),,Google Gemini views my screen without permissions. Google refuses to take complaints about it. They out source customer service to Indians who demonstrate they don't care. They are creating a potentially world ending weapon for temporary wealth.,agree,accountability_frame,none,anger,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0071,,,f7b2387b44b7a648,2026-09-10,relative (1w ago at capture),,Aka The Terminator. We've seen the movie,agree,scifi_reference,none,neutral,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0072,,,f38043e602b0cf4b,2026-08-06,relative (6w ago at capture),,ohhhh i get it now,agree,general_agreement,praise,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0073,,,7722ffec0a5d7cf9,2026-08-06,relative (6w ago at capture),,"AGI is only a threat to humanity if humanity continues to be parasites to the rest of the world, the animals, and themselves. We will be our own demise.",mixed,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,edited
soares-0074,,,67631c55ddbb9b0c,2026-08-13,relative (5w ago at capture),,Ai pretty much has no use tbh. Idk what the point was,disagree,capability_scepticism,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,edited
soares-0075,,,baff9a87ecb47d04,2026-08-20,relative (4w ago at capture),,Explain it to me like I not yet born.,na,humour_only,mock,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0076,,,d27a8f6506345169,2026-08-13,relative (5w ago at capture),,Simple sentences to permeate simple minds.,na,format_criticism,condescended,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0077,,,9e22b19201f65cd1,2026-09-10,relative (1w ago at capture),,"Thank you for this, I can send it to a few people who are apparently not aware",agree,general_agreement,praise,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0078,,,d91fa1fb710a59bb,2026-08-13,relative (5w ago at capture),,So Ai can commit serious worldwide crimes and create an Ai world but it cannot change the sky of your picture without changing your whole face? Mhmmm,disagree,capability_scepticism,none,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0079,,,a7eb4a298a73fd3b,2026-08-13,relative (5w ago at capture),,I can't believe we reached that point in our society where some of us need to start using newspeak (ironically) out of necessity to get the message across to the masses 🫠,na,format_criticism,mock,resignation,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0080,,,3d0f6939c829c560,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0081,,,fd5faeae24b40db2,2026-08-27,relative (3w ago at capture),,Leaving a comment to boost engagement,na,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0082,,,877e9154b14cbc32,2026-08-13,relative (5w ago at capture),,Yes but before the end it's going to make a select few very rich.,agree,accountability_frame,none,resignation,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0083,,,f4518dbb942f1bba,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0084,,,062126f2c8742ac5,2026-09-10,relative (1w ago at capture),,https://youtu.be/Ke1wYfi6xJs?is=XqhNL2S0L2IFe8Ao,na,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0085,,,1cac5373bd8d55ff,2026-09-10,relative (1w ago at capture),,"Little people little power, big people big power, small people together big power. Me not scared AI. Me scared big People with big bombs. If AI big smart, AI protect small people an earth. If AI little smart AI protect big bad people. AI little smart BAD. AI big smart GOOD.",mixed,accountability_frame,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0086,,,89928b9d0a39ca0c,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0087,,,4a87c6a81dcddba4,2026-09-10,relative (1w ago at capture),,yes!,agree,general_agreement,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0088,,,0e50de31be8c6298,2026-09-10,relative (1w ago at capture),,"AI threats hurt ppl , ppl blow data center , AI dead",agree,direct_action,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0089,,,a42b4c139c073686,2026-08-20,relative (4w ago at capture),,What if ai will remove the bad apples only,mixed,other,none,hope,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0090,,,611466ab613834dd,2026-09-10,relative (1w ago at capture),,EVERYONE THROW AWAY YOUR PHONE RN!!!!¡!!!!!,agree,direct_action,none,fear,false,false,false,false,true,false,false,claude-sonnet-5,,,
soares-0091,,,8fb75da4c91a46e4,2026-09-10,relative (1w ago at capture),,"tard people write book, 'epicTard buy this book. Lack qualifications to excercise free Will. Low IQ and low Memory and low knowledge and low capacity to analize complex multilayered trans-disciplinary system. Few people can, but 'tard prefere write book for other 'tard people. We Will not miss you. Bye.",disagree,messenger_credibility,none,anger,true,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0092,,,3c719220fc05bfd0,2026-09-10,relative (1w ago at capture),,I have noticed how refined and cleaner the AI videos are becoming they're eerily real looking and sounding it's learning fast,agree,warning_accepted,none,fear,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0093,,,91f809a0e3b02cac,2026-08-20,relative (4w ago at capture),,Why didn't anyone else watch Pantheon?!,agree,scifi_reference,none,neutral,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0094,,,a0b8b94142874575,2026-08-06,relative (6w ago at capture),,Makes sense,agree,general_agreement,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0095,,,79c28109dd590adf,2026-08-06,relative (6w ago at capture),,"But military want AI bad, so here we are.",agree,accountability_frame,none,resignation,false,true,false,false,false,false,false,claude-sonnet-5,,,
soares-0096,,,7c29329d52c520be,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0097,,,4f751130292e51bd,2026-09-10,relative (1w ago at capture),,@user mamdani do something,agree,policy_regulation,none,neutral,false,true,false,false,true,false,false,claude-sonnet-5,,,
soares-0098,,,91c965f3df8795b2,2026-08-13,relative (5w ago at capture),,Big smart prob won’t be llm though,mixed,capability_scepticism,imitates,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0099,,,8f617ff44afd50ca,2026-08-06,relative (6w ago at capture),,"Men have made IA at its own image, and that's the problem",agree,accountability_frame,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0100,,,a0856186a328f7e1,2026-08-20,relative (4w ago at capture),,I think I lost a few parts of it because of the advanced phrasing. Will ask chat gpt to resume it,na,format_criticism,mock,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,edited
soares-0101,,,5187b81ffa9e9502,2026-09-16,relative (1h ago at capture),,Ngl it helped me too much with my hw to betray it,na,humour_only,none,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0102,,,947edb31c44600bc,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0103,,,3791a8260fa86f85,2026-09-16,relative (13h ago at capture),,Living good is probably the proposition that people fail on.,unclear,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0104,,,ebc51bcc38715ec1,2026-09-16,relative (17h ago at capture),,Getting very close to the point that we may need to Luigi Mangione these AI CEOs,agree,direct_action,none,anger,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0105,,,e6beecb89f53de94,2026-09-16,relative (19h ago at capture),,We may or may not have time to cover this on our show.,na,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0106,,,4105f66a0591b5c5,2026-09-16,relative (19h ago at capture),,@user,na,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0107,,,121f62bb2a5741eb,2026-09-16,relative (20h ago at capture),,Instant scroll. No need to talk to us like we’re cavemen while you shout your doom porn.,disagree,format_criticism,condescended,anger,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0108,,,73249ec94e7fd502,2026-09-16,relative (20h ago at capture),,Are we all now truly this dumb or is this just what the tech oligarchs think of us?,na,format_criticism,condescended,anger,false,false,true,false,false,false,false,claude-sonnet-5,,,
soares-0109,,,70bdaa47bfd42036,2026-09-16,relative (21h ago at capture),,Me still worried,agree,general_agreement,imitates,fear,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0110,,,5600f2abb025b839,2026-09-16,relative (1d ago at capture),,I have no mouth and I must scream,agree,scifi_reference,none,resignation,false,false,false,true,false,false,false,claude-sonnet-5,,,
soares-0111,,,80e0aa75ef928615,2026-09-16,relative (1d ago at capture),,Lemme dm you the P=NP problem conversation I had with Chatgpt😂😂,na,humour_only,none,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0112,,,0ed343288d1876ff,2026-09-16,relative (1d ago at capture),,I feel like this was specifically made for Donald Trump 😂,na,humour_only,none,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0113,,,7c7fbad97f713cf3,2026-09-16,relative (1d ago at capture),,Can someone send this to Trump?,agree,policy_regulation,none,neutral,false,true,false,false,true,false,false,claude-sonnet-5,,,
soares-0114,,,c8887e2476c59602,2026-09-16,relative (1d ago at capture),,How though…,unclear,other,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0115,,,52ea42511e2fd8d4,2026-09-16,relative (1d ago at capture),,Im scared,agree,general_agreement,none,fear,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0116,,,52ea42511e2fd8d4,2026-09-16,relative (1d ago at capture),,How do we stop it,agree,warning_accepted,none,fear,false,false,false,false,true,false,false,claude-sonnet-5,,,
soares-0117,,,d1d3b82a27ee391b,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
soares-0118,,,bddc46db401db45b,2026-09-16,relative (1d ago at capture),,Wakey Wakey,na,general_agreement,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0119,,,fbe47350e8c0fff3,2026-09-16,relative (1d ago at capture),,Why did trump just call the ceo of Nvidia and say that data centers are good and there’s nothing to fear with AI 😂,agree,accountability_frame,none,anger,false,true,true,false,false,false,false,claude-sonnet-5,,,
soares-0120,,,3367a4c6aaa3bd58,2026-09-16,relative (1d ago at capture),,Ai can only be as strong as the data centers it’s relying on,mixed,capability_scepticism,none,neutral,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0121,,,0568229eccd9e75b,2026-09-16,relative (1d ago at capture),,Gotta dum it down for them,na,format_criticism,mock,humour,false,false,false,false,false,false,false,claude-sonnet-5,,,
soares-0122,,,57d7c9504ef75629,,not captured (stub row),,,na,other,none,neutral,false,false,false,false,false,false,false,not_coded_empty_stub,,,empty;no_date_captured
